act,scene,speaker,sentence,pronoun,resolved_to,gender_group,window_size_used
1,3,MACBETH,Would they had stay'd!,they,MACBETH,neutral,7
1,3,MACBETH,And Thane of Cawdor too; went it not so?,it,MACBETH,neutral,7
1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",he,ROSS,male,7
1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",His,ROSS,male,7
1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",his,ROSS,male,7
1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",his,ROSS,male,7
1,3,ROSS,"when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or",He,ROSS,male,7
1,3,ROSS,"As thick as tale Came post with post; and everyone did bear Thy praises in his kingdom's great defence, And pour'd them ",his,ROSS,male,7
1,3,ROSS,"As thick as tale Came post with post; and everyone did bear Thy praises in his kingdom's great defence, And pour'd them ",them,ROSS,neutral,7
1,3,ROSS,"As thick as tale Came post with post; and everyone did bear Thy praises in his kingdom's great defence, And pour'd them ",him,ROSS,male,7
1,3,ANGUS,"We are sent To give thee from our royal master thanks; Only to herald thee into his sight, Not pay thee.",his,ANGUS,male,7
1,3,ROSS,"And, for an earnest of a greater honour, He bade me, from him, call thee Thane of Cawdor: In which addition, hail, most ",He,ROSS,male,7
1,3,ROSS,"And, for an earnest of a greater honour, He bade me, from him, call thee Thane of Cawdor: In which addition, hail, most ",him,ROSS,male,7
1,3,ROSS,"And, for an earnest of a greater honour, He bade me, from him, call thee Thane of Cawdor: In which addition, hail, most ",it,ROSS,neutral,7
1,3,ANGUS,"Who was the Thane lives yet, But under heavy judgement bears that life Which he deserves to lose.",he,ANGUS,male,7
1,3,ANGUS,"Whether he was combin'd With those of Norway, or did line the rebel With hidden help and vantage, or that with both He l",he,ANGUS,male,7
1,3,ANGUS,"Whether he was combin'd With those of Norway, or did line the rebel With hidden help and vantage, or that with both He l",He,ANGUS,male,7
1,3,ANGUS,"Whether he was combin'd With those of Norway, or did line the rebel With hidden help and vantage, or that with both He l",his,ANGUS,male,7
1,3,ANGUS,"But treasons capital, confess'd and prov'd, Have overthrown him.",him,ANGUS,male,7
1,3,MACBETH,no less to them?,them,MACBETH,neutral,7
1,3,MACBETH,"If ill, Why hath it given me earnest of success, Commencing in a truth?",it,MACBETH,neutral,7
1,3,BANQUO,"New honours come upon him, Like our strange garments, cleave not to their mould",him,BANQUO,male,7
1,3,BANQUO,"New honours come upon him, Like our strange garments, cleave not to their mould",their,BANQUO,neutral,7
1,3,MACBETH,"Think upon what hath chanc'd; and at more time, The interim having weigh'd it, let us speak Our free hearts each to othe",it,MACBETH,neutral,7
1,4,MALCOLM,"My liege, They are not yet come back.",They,MALCOLM,neutral,3
1,4,MALCOLM,"But I have spoke With one that saw him die, who did report, That very frankly he confess'd his treasons, Implor'd your H",him,MALCOLM,male,4
1,4,MALCOLM,"But I have spoke With one that saw him die, who did report, That very frankly he confess'd his treasons, Implor'd your H",he,MALCOLM,male,4
1,4,MALCOLM,"But I have spoke With one that saw him die, who did report, That very frankly he confess'd his treasons, Implor'd your H",his,MALCOLM,male,4
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",his,MALCOLM,male,5
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",him,MALCOLM,male,5
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",it,MALCOLM,neutral,5
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",he,MALCOLM,male,5
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",his,MALCOLM,male,5
1,4,MALCOLM,"Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the",he,MALCOLM,male,5
1,4,DUNCAN,There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust.,He,DUNCAN,male,6
1,4,MACBETH,"The service and the loyalty I owe, In doing it, pays itself.",it,MACBETH,neutral,7
1,4,MACBETH,"Your Highness' part Is to receive our duties: and our duties Are to your throne and state, children and servants; Which ",they,MACBETH,neutral,7
1,4,DUNCAN,"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow.—Sons, kinsmen, thanes, And you whose p",themselves,Malcolm,neutral,7
1,4,DUNCAN,"My plenteous joys, Wanton in fulness, seek to hide themselves In drops of sorrow.—Sons, kinsmen, thanes, And you whose p",him,Malcolm,male,7
1,4,MACBETH,"The Prince of Cumberland!—That is a step On which I must fall down, or else o'erleap, For in my way it lies.",it,MACBETH,neutral,7
1,4,MACBETH,"The eye wink at the hand, yet let that be, Which the eye fears, when it is done, to see.",it,MACBETH,neutral,7
1,4,DUNCAN,He is full so valiant; And in his commendations I am fed.,He,DUNCAN,male,7
1,4,DUNCAN,He is full so valiant; And in his commendations I am fed.,his,DUNCAN,male,7
1,4,DUNCAN,It is a banquet to me.,It,DUNCAN,neutral,7
1,4,DUNCAN,"Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.",him,DUNCAN,male,7
1,4,DUNCAN,"Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.",It,DUNCAN,neutral,7
1,5,LADY MACBETH,"""They met me in the day of success; and I have learned by the perfect'st report they have more in them than mortal knowl",They,LADY MACBETH,neutral,1
1,5,LADY MACBETH,"""They met me in the day of success; and I have learned by the perfect'st report they have more in them than mortal knowl",they,LADY MACBETH,neutral,1
1,5,LADY MACBETH,"""They met me in the day of success; and I have learned by the perfect'st report they have more in them than mortal knowl",them,LADY MACBETH,neutral,1
1,5,LADY MACBETH,"When I burned in desire to question them further, they made themselves air, into which they vanished.",them,LADY MACBETH,neutral,2
1,5,LADY MACBETH,"When I burned in desire to question them further, they made themselves air, into which they vanished.",they,LADY MACBETH,neutral,2
1,5,LADY MACBETH,"When I burned in desire to question them further, they made themselves air, into which they vanished.",themselves,LADY MACBETH,neutral,2
1,5,LADY MACBETH,"When I burned in desire to question them further, they made themselves air, into which they vanished.",they,LADY MACBETH,neutral,2
1,5,LADY MACBETH,"Whiles I stood rapt in the wonder of it, came missives from the King, who all-hailed me, 'Thane of Cawdor'; by which tit",it,LADY MACBETH,neutral,3
1,5,LADY MACBETH,"Lay it to thy heart, and farewell.""",it,LADY MACBETH,neutral,5
1,5,LADY MACBETH,Yet do I fear thy nature; It is too full o' th' milk of human kindness To catch the nearest way.,It,LADY MACBETH,neutral,7
1,5,LADY MACBETH,"Thou wouldst be great; Art not without ambition, but without The illness should attend it.",it,LADY MACBETH,neutral,7
1,5,LADY MACBETH,"Thou'dst have, great Glamis, That which cries, ""Thus thou must do,"" if thou have it; And that which rather thou dost fea",it,LADY MACBETH,neutral,7
1,5,LADY MACBETH,Thou'rt mad to say it.,it,LADY MACBETH,neutral,7
1,5,LADY MACBETH,Is not thy master with him?,him,LADY MACBETH,male,7
1,5,MESSENGER,"So please you, it is true.",it,MESSENGER,neutral,7
1,5,MESSENGER,"One of my fellows had the speed of him, Who, almost dead for breath, had scarcely more Than would make up his message.",him,LADY MACBETH,male,7
1,5,MESSENGER,"One of my fellows had the speed of him, Who, almost dead for breath, had scarcely more Than would make up his message.",his,LADY MACBETH,male,7
1,5,LADY MACBETH,Give him tending.,him,LADY MACBETH,male,7
1,5,LADY MACBETH,He brings great news.,He,LADY MACBETH,male,7
1,5,LADY MACBETH,The raven himself is hoarse That croaks the fatal entrance of Duncan Under my battlements.,himself,Duncan,male,7
1,5,LADY MACBETH,"make thick my blood, Stop up th' access and passage to remorse, That no compunctious visitings of nature Shake my fell p",it,LADY MACBETH,neutral,7
1,5,LADY MACBETH,"That my keen knife see not the wound it makes, Nor heaven peep through the blanket of the dark To cry, ""Hold, hold!""",it,LADY MACBETH,neutral,7
1,5,MACBETH,"Tomorrow, as he purposes.",he,MACBETH,male,7
1,5,LADY MACBETH,He that's coming Must be provided for; and you shall put This night's great business into my dispatch; Which shall to al,He,LADY MACBETH,male,7
1,6,BANQUO,"This guest of summer, The temple-haunting martlet, does approve, By his loved mansionry, that the heaven's breath Smells",his,BANQUO,male,4
1,6,BANQUO,"This guest of summer, The temple-haunting martlet, does approve, By his loved mansionry, that the heaven's breath Smells",his,BANQUO,male,4
1,6,BANQUO,"Where they most breed and haunt, I have observ'd",they,BANQUO,neutral,5
1,6,LADY MACBETH,"Your Majesty loads our house: for those of old, And the late dignities heap'd up to them, We rest your hermits.",them,LADY MACBETH,neutral,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",him,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",his,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",he,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",his,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",his,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",him,DUNCAN,male,7
1,6,DUNCAN,"We cours'd him at the heels, and had a purpose To be his purveyor: but he rides well; And his great love, sharp as his s",his,DUNCAN,male,7
1,6,LADY MACBETH,"Your servants ever Have theirs, themselves, and what is theirs, in compt, To make their audit at your Highness' pleasure",themselves,LADY MACBETH,neutral,7
1,6,LADY MACBETH,"Your servants ever Have theirs, themselves, and what is theirs, in compt, To make their audit at your Highness' pleasure",their,LADY MACBETH,neutral,7
1,6,DUNCAN,"Give me your hand; Conduct me to mine host: we love him highly, And shall continue our graces towards him.",him,DUNCAN,male,7
1,6,DUNCAN,"Give me your hand; Conduct me to mine host: we love him highly, And shall continue our graces towards him.",him,DUNCAN,male,7
1,7,MACBETH,"If it were done when 'tis done, then 'twere well",it,MACBETH,neutral,1
1,7,MACBETH,It were done quickly.,It,MACBETH,neutral,2
1,7,MACBETH,"If th' assassination Could trammel up the consequence, and catch With his surcease success; that but this blow Might be ",his,MACBETH,male,3
1,7,MACBETH,He's here in double trust:,He,MACBETH,male,6
1,7,MACBETH,"First, as I am his kinsman and his subject, Strong both against the deed; then, as his host, Who should against his murd",his,MACBETH,male,7
1,7,MACBETH,"First, as I am his kinsman and his subject, Strong both against the deed; then, as his host, Who should against his murd",his,MACBETH,male,7
1,7,MACBETH,"First, as I am his kinsman and his subject, Strong both against the deed; then, as his host, Who should against his murd",his,MACBETH,male,7
1,7,MACBETH,"First, as I am his kinsman and his subject, Strong both against the deed; then, as his host, Who should against his murd",his,MACBETH,male,7
1,7,MACBETH,"Besides, this Duncan Hath borne his faculties so meek, hath been So clear in his great office, that his virtues Will ple",his,Lady Macbeth.,male,7
1,7,MACBETH,"Besides, this Duncan Hath borne his faculties so meek, hath been So clear in his great office, that his virtues Will ple",his,Lady Macbeth.,male,7
1,7,MACBETH,"Besides, this Duncan Hath borne his faculties so meek, hath been So clear in his great office, that his virtues Will ple",his,Lady Macbeth.,male,7
1,7,MACBETH,"Besides, this Duncan Hath borne his faculties so meek, hath been So clear in his great office, that his virtues Will ple",his,Lady Macbeth.,male,7
1,7,LADY MACBETH,He has almost supp'd.,He,LADY MACBETH,male,7
1,7,MACBETH,Hath he ask'd for me?,he,MACBETH,male,7
1,7,LADY MACBETH,Know you not he has?,he,LADY MACBETH,male,7
1,7,MACBETH,We will proceed no further in this business: He hath honour'd me of late; and I have bought Golden opinions from all sor,He,MACBETH,male,7
1,7,MACBETH,We will proceed no further in this business: He hath honour'd me of late; and I have bought Golden opinions from all sor,their,MACBETH,neutral,7
1,7,LADY MACBETH,Hath it slept since?,it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"And wakes it now, to look so green and pale At what it did so freely?",it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"And wakes it now, to look so green and pale At what it did so freely?",it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"When you durst do it, then you were a man; And, to be more than what you were, you would Be so much more the man.",it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"Nor time nor place Did then adhere, and yet you would make both: They have made themselves, and that their fitness now D",They,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"Nor time nor place Did then adhere, and yet you would make both: They have made themselves, and that their fitness now D",themselves,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"Nor time nor place Did then adhere, and yet you would make both: They have made themselves, and that their fitness now D",their,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"I have given suck, and know How tender 'tis to love the babe that milks me: I would, while it was smiling in my face, Ha",it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"I have given suck, and know How tender 'tis to love the babe that milks me: I would, while it was smiling in my face, Ha",his,LADY MACBETH,male,7
1,7,LADY MACBETH,"When Duncan is asleep (Whereto the rather shall his day's hard journey Soundly invite him), his two chamberlains Will I ",his,Duncan,male,7
1,7,LADY MACBETH,"When Duncan is asleep (Whereto the rather shall his day's hard journey Soundly invite him), his two chamberlains Will I ",him,Duncan,male,7
1,7,LADY MACBETH,"When Duncan is asleep (Whereto the rather shall his day's hard journey Soundly invite him), his two chamberlains Will I ",his,Duncan,male,7
1,7,LADY MACBETH,"When Duncan is asleep (Whereto the rather shall his day's hard journey Soundly invite him), his two chamberlains Will I ",Their,Duncan,neutral,7
1,7,LADY MACBETH,what not put upon His spongy officers; who shall bear the guilt Of our great quell?,His,LADY MACBETH,male,7
1,7,MACBETH,"Will it not be receiv'd, When we have mark'd with blood those sleepy two Of his own chamber, and us'd their very daggers",it,MACBETH,neutral,7
1,7,MACBETH,"Will it not be receiv'd, When we have mark'd with blood those sleepy two Of his own chamber, and us'd their very daggers",his,MACBETH,male,7
1,7,MACBETH,"Will it not be receiv'd, When we have mark'd with blood those sleepy two Of his own chamber, and us'd their very daggers",their,MACBETH,neutral,7
1,7,MACBETH,"Will it not be receiv'd, When we have mark'd with blood those sleepy two Of his own chamber, and us'd their very daggers",they,MACBETH,neutral,7
1,7,LADY MACBETH,"Who dares receive it other, As we shall make our griefs and clamour roar Upon his death?",it,LADY MACBETH,neutral,7
1,7,LADY MACBETH,"Who dares receive it other, As we shall make our griefs and clamour roar Upon his death?",his,LADY MACBETH,male,7
2,1,BANQUO,And she goes down at twelve.,she,BANQUO,unknown,4
2,1,BANQUO,"Hold, take my sword.—There's husbandry in heaven; Their candles are all out.",Their,BANQUO,neutral,6
2,1,BANQUO,The King's abed: He hath been in unusual pleasure and Sent forth great largess to your offices.,He,BANQUO,male,7
2,1,BANQUO,"This diamond he greets your wife withal, By the name of most kind hostess, and shut up In measureless content.",he,BANQUO,male,7
2,1,BANQUO,To you they have show'd some truth.,they,BANQUO,neutral,7
2,1,MACBETH,"I think not of them: Yet, when we can entreat an hour to serve, We would spend it in some words upon that business, If y",them,MACBETH,neutral,7
2,1,MACBETH,"I think not of them: Yet, when we can entreat an hour to serve, We would spend it in some words upon that business, If y",it,MACBETH,neutral,7
2,1,MACBETH,"If you shall cleave to my consent, when 'tis, It shall make honour for you.",It,MACBETH,neutral,7
2,1,BANQUO,"So I lose none In seeking to augment it, but still keep My bosom franchis'd, and allegiance clear, I shall be counsell'd",it,BANQUO,neutral,7
2,1,MACBETH,"Go bid thy mistress, when my drink is ready, She strike upon the bell.",She,MACBETH,unknown,7
2,1,MACBETH,"It is the bloody business which informs Thus to mine eyes.—Now o'er the one half-world Nature seems dead, and wicked dre",It,MACBETH,neutral,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",his,MACBETH,male,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",his,MACBETH,male,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",his,MACBETH,male,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",his,MACBETH,male,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",they,Hecate,neutral,7
2,1,MACBETH,"Witchcraft celebrates Pale Hecate's off'rings; and wither'd murder, Alarum'd by his sentinel, the wolf, Whose howl's his",he,MACBETH,male,7
2,1,MACBETH,"I go, and it is done.",it,MACBETH,neutral,7
2,1,MACBETH,"Hear it not, Duncan, for it is a knell That summons thee to heaven or to hell.",it,Duncan,neutral,7
2,1,MACBETH,"Hear it not, Duncan, for it is a knell That summons thee to heaven or to hell.",it,Duncan,neutral,7
2,2,LADY MACBETH,That which hath made them drunk hath made me bold: What hath quench'd them hath given me fire.—Hark!—Peace!,them,LADY MACBETH,neutral,1
2,2,LADY MACBETH,That which hath made them drunk hath made me bold: What hath quench'd them hath given me fire.—Hark!—Peace!,them,LADY MACBETH,neutral,1
2,2,LADY MACBETH,"It was the owl that shriek'd, the fatal bellman, Which gives the stern'st good night.",It,LADY MACBETH,neutral,2
2,2,LADY MACBETH,He is about it.,He,LADY MACBETH,male,3
2,2,LADY MACBETH,He is about it.,it,LADY MACBETH,neutral,3
2,2,LADY MACBETH,"The doors are open; and the surfeited grooms Do mock their charge with snores: I have drugg'd their possets, That death ",their,LADY MACBETH,neutral,4
2,2,LADY MACBETH,"The doors are open; and the surfeited grooms Do mock their charge with snores: I have drugg'd their possets, That death ",their,LADY MACBETH,neutral,4
2,2,LADY MACBETH,"The doors are open; and the surfeited grooms Do mock their charge with snores: I have drugg'd their possets, That death ",them,LADY MACBETH,neutral,4
2,2,LADY MACBETH,"The doors are open; and the surfeited grooms Do mock their charge with snores: I have drugg'd their possets, That death ",they,LADY MACBETH,neutral,4
2,2,LADY MACBETH,"I am afraid they have awak'd, And 'tis not done.",they,LADY MACBETH,neutral,7
2,2,LADY MACBETH,Th' attempt and not the deed Confounds us.—Hark!—I laid their daggers ready; He could not miss 'em.—Had he not resembled,their,LADY MACBETH,neutral,7
2,2,LADY MACBETH,Th' attempt and not the deed Confounds us.—Hark!—I laid their daggers ready; He could not miss 'em.—Had he not resembled,He,LADY MACBETH,male,7
2,2,LADY MACBETH,Th' attempt and not the deed Confounds us.—Hark!—I laid their daggers ready; He could not miss 'em.—Had he not resembled,he,LADY MACBETH,male,7
2,2,LADY MACBETH,Th' attempt and not the deed Confounds us.—Hark!—I laid their daggers ready; He could not miss 'em.—Had he not resembled,he,LADY MACBETH,male,7
2,2,MACBETH,Looking on his hands.,his,MACBETH,male,7
2,2,MACBETH,That they did wake each other: I stood and heard them.,they,MACBETH,neutral,7
2,2,MACBETH,That they did wake each other: I stood and heard them.,them,MACBETH,neutral,7
2,2,MACBETH,"But they did say their prayers, and address'd them Again to sleep.",they,MACBETH,neutral,7
2,2,MACBETH,"But they did say their prayers, and address'd them Again to sleep.",their,MACBETH,neutral,7
2,2,MACBETH,"But they did say their prayers, and address'd them Again to sleep.",them,MACBETH,neutral,7
2,2,MACBETH,"and, ""Amen,"" the other, As they had seen me with these hangman's hands.",they,MACBETH,neutral,7
2,2,MACBETH,"List'ning their fear, I could not say ""Amen,"" When they did say, ""God bless us.""",their,MACBETH,neutral,7
